"FREQ","R1(1)"
1,27.604
1.023292992,27.604
1.047128548,27.604
1.071519305,27.604
1.096478196,27.604
1.122018454,27.604
1.148153621,27.604
1.174897555,27.604
1.202264435,27.604
1.230268771,27.604
1.258925412,27.604
1.288249552,27.604
1.318256739,27.604
1.348962883,27.604
1.380384265,27.604
1.412537545,27.604
1.445439771,27.604
1.479108388,27.604
1.513561248,27.604
1.548816619,27.604
1.584893192,27.604
1.621810097,27.604
1.659586907,27.604
1.698243652,27.604
1.737800829,27.604
1.77827941,27.604
1.819700859,27.604
1.862087137,27.604
1.905460718,27.604
1.9498446,27.604
1.995262315,27.604
2.041737945,27.604
2.089296131,27.604
2.13796209,27.604
2.187761624,27.604
2.238721139,27.604
2.290867653,27.604
2.344228815,27.604
2.398832919,27.604
2.454708916,27.604
2.511886432,27.604
2.570395783,27.604
2.630267992,27.604
2.691534804,27.604
2.754228703,27.604
2.818382931,27.604
2.884031503,27.604
2.951209227,27.604
3.01995172,27.604
3.090295433,27.604
3.16227766,27.604
3.235936569,27.604
3.311311215,27.604
3.388441561,27.604
3.467368505,27.604
3.548133892,27.604
3.630780548,27.604
3.715352291,27.604
3.801893963,27.604
3.89045145,27.604
3.981071706,27.604
4.073802778,27.604
4.168693835,27.604
4.265795188,27.604
4.365158322,27.604
4.466835922,27.604
4.570881896,27.604
4.677351413,27.604
4.786300923,27.604
4.897788194,27.604
5.011872336,27.604
5.12861384,27.604
5.248074602,27.604
5.370317964,27.604
5.495408739,27.604
5.623413252,27.604
5.754399373,27.604
5.888436554,27.604
6.025595861,27.604
6.165950019,27.604
6.309573445,27.604
6.45654229,27.604
6.60693448,27.604
6.760829754,27.604
6.918309709,27.604
7.079457844,27.604
7.244359601,27.604
7.413102413,27.604
7.58577575,27.604
7.762471166,27.604
7.943282347,27.604
8.128305162,27.604
8.317637711,27.604
8.511380382,27.604
8.7096359,27.604
8.912509381,27.604
9.120108394,27.604
9.332543008,27.604
9.54992586,27.604
9.77237221,27.604
10,27.604
10.23292992,27.604
10.47128548,27.604
10.71519305,27.604
10.96478196,27.604
11.22018454,27.604
11.48153621,27.604
11.74897555,27.604
12.02264435,27.604
12.30268771,27.604
12.58925412,27.604
12.88249552,27.604
13.18256739,27.604
13.48962883,27.604
13.80384265,27.604
14.12537545,27.604
14.45439771,27.604
14.79108388,27.604
15.13561248,27.604
15.48816619,27.604
15.84893192,27.604
16.21810097,27.604
16.59586907,27.604
16.98243652,27.604
17.37800829,27.604
17.7827941,27.604
18.19700859,27.604
18.62087137,27.604
19.05460718,27.604
19.498446,27.604
19.95262315,27.604
20.41737945,27.604
20.89296131,27.604
21.3796209,27.604
21.87761624,27.604
22.38721139,27.604
22.90867653,27.604
23.44228815,27.604
23.98832919,27.604
24.54708916,27.604
25.11886432,27.604
25.70395783,27.604
26.30267992,27.604
26.91534804,27.604
27.54228703,27.604
28.18382931,27.604
28.84031503,27.604
29.51209227,27.604
30.1995172,27.604
30.90295433,27.604
31.6227766,27.604
32.35936569,27.604
33.11311215,27.604
33.88441561,27.604
34.67368505,27.604
35.48133892,27.604
36.30780548,27.604
37.15352291,27.604
38.01893963,27.604
38.9045145,27.604
39.81071706,27.604
40.73802778,27.604
41.68693835,27.604
42.65795188,27.604
43.65158322,27.604
44.66835922,27.604
45.70881896,27.604
46.77351413,27.604
47.86300923,27.604
48.97788194,27.604
50.11872336,27.604
51.2861384,27.604
52.48074602,27.604
53.70317964,27.604
54.95408739,27.604
56.23413252,27.604
57.54399373,27.604
58.88436554,27.604
60.25595861,27.604
61.65950019,27.604
63.09573445,27.604
64.5654229,27.604
66.0693448,27.604
67.60829754,27.604
69.18309709,27.604
70.79457844,27.604
72.44359601,27.604
74.13102413,27.604
75.8577575,27.604
77.62471166,27.604
79.43282347,27.604
81.28305162,27.604
83.17637711,27.604
85.11380382,27.604
87.096359,27.604
89.12509381,27.604
91.20108394,27.604
93.32543008,27.604
95.4992586,27.604
97.7237221,27.604
100,27.604
102.3292992,27.604
104.7128548,27.604
107.1519305,27.604
109.6478196,27.604
112.2018454,27.604
114.8153621,27.604
117.4897555,27.604
120.2264435,27.604
123.0268771,27.604
125.8925412,27.604
128.8249552,27.604
131.8256739,27.604
134.8962883,27.604
138.0384265,27.604
141.2537545,27.604
144.5439771,27.604
147.9108388,27.604
151.3561248,27.604
154.8816619,27.604
158.4893192,27.604
162.1810097,27.604
165.9586907,27.604
169.8243652,27.604
173.7800829,27.604
177.827941,27.604
181.9700859,27.604
186.2087137,27.604
190.5460718,27.604
194.98446,27.604
199.5262315,27.604
204.1737945,27.604
208.9296131,27.604
213.796209,27.604
218.7761624,27.604
223.8721139,27.604
229.0867653,27.604
234.4228815,27.604
239.8832919,27.604
245.4708916,27.604
251.1886432,27.604
257.0395783,27.604
263.0267992,27.604
269.1534804,27.604
275.4228703,27.604
281.8382931,27.604
288.4031503,27.604
295.1209227,27.604
301.995172,27.604
309.0295433,27.604
316.227766,27.604
323.5936569,27.604
331.1311215,27.604
338.8441561,27.604
346.7368505,27.604
354.8133892,27.604
363.0780548,27.604
371.5352291,27.604
380.1893963,27.604
389.045145,27.604
398.1071706,27.604
407.3802778,27.604
416.8693835,27.604
426.5795188,27.604
436.5158322,27.604
446.6835922,27.604
457.0881896,27.604
467.7351413,27.604
478.6300923,27.604
489.7788194,27.604
501.1872336,27.604
512.861384,27.604
524.8074602,27.604
537.0317964,27.604
549.5408739,27.604
562.3413252,27.604
575.4399373,27.604
588.8436554,27.604
602.5595861,27.604
616.5950019,27.604
630.9573445,27.604
645.654229,27.604
660.693448,27.604
676.0829754,27.604
691.8309709,27.604
707.9457844,27.604
724.4359601,27.604
741.3102413,27.604
758.577575,27.604
776.2471166,27.604
794.3282347,27.604
812.8305162,27.604
831.7637711,27.604
851.1380382,27.604
870.96359,27.604
891.2509381,27.604
912.0108394,27.604
933.2543008,27.604
954.992586,27.604
977.237221,27.604
1000,27.604
1023.292992,27.604
1047.128548,27.604
1071.519305,27.604
1096.478196,27.604
1122.018454,27.604
1148.153621,27.604
1174.897555,27.604
1202.264435,27.604
1230.268771,27.604
1258.925412,27.604
1288.249552,27.604
1318.256739,27.604
1348.962883,27.604
1380.384265,27.604
1412.537545,27.604
1445.439771,27.604
1479.108388,27.604
1513.561248,27.604
1548.816619,27.604
1584.893192,27.604
1621.810097,27.604
1659.586907,27.604
1698.243652,27.604
1737.800829,27.604
1778.27941,27.604
1819.700859,27.604
1862.087137,27.604
1905.460718,27.604
1949.8446,27.604
1995.262315,27.604
2041.737945,27.604
2089.296131,27.604
2137.96209,27.604
2187.761624,27.604
2238.721139,27.604
2290.867653,27.604
2344.228815,27.604
2398.832919,27.604
2454.708916,27.604
2511.886432,27.604
2570.395783,27.604
2630.267992,27.604
2691.534804,27.604
2754.228703,27.604
2818.382931,27.604
2884.031503,27.604
2951.209227,27.604
3019.95172,27.604
3090.295433,27.604
3162.27766,27.604
3235.936569,27.604
3311.311215,27.604
3388.441561,27.604
3467.368505,27.604
3548.133892,27.604
3630.780548,27.604
3715.352291,27.604
3801.893963,27.604
3890.45145,27.604
3981.071706,27.604
4073.802778,27.604
4168.693835,27.604
4265.795188,27.604
4365.158322,27.604
4466.835922,27.604
4570.881896,27.604
4677.351413,27.604
4786.300923,27.604
4897.788194,27.604
5011.872336,27.604
5128.61384,27.604
5248.074602,27.604
5370.317964,27.604
5495.408739,27.604
5623.413252,27.604
5754.399373,27.604
5888.436554,27.604
6025.595861,27.604
6165.950019,27.604
6309.573445,27.604
6456.54229,27.604
6606.93448,27.604
6760.829754,27.604
6918.309709,27.604
7079.457844,27.604
7244.359601,27.604
7413.102413,27.604
7585.77575,27.604
7762.471166,27.604
7943.282347,27.604
8128.305162,27.604
8317.637711,27.604
8511.380382,27.604
8709.6359,27.604
8912.509381,27.604
9120.108394,27.604
9332.543008,27.604
9549.92586,27.604
9772.37221,27.604
10000,27.604
10232.92992,27.604
10471.28548,27.604
10715.19305,27.604
10964.78196,27.604
11220.18454,27.604
11481.53621,27.604
11748.97555,27.604
12022.64435,27.604
12302.68771,27.604
12589.25412,27.604
12882.49552,27.604
13182.56739,27.604
13489.62883,27.604
13803.84265,27.604
14125.37545,27.604
14454.39771,27.604
14791.08388,27.604
15135.61248,27.604
15488.16619,27.604
15848.93192,27.604
16218.10097,27.604
16595.86907,27.604
16982.43652,27.604
17378.00829,27.604
17782.7941,27.604
18197.00859,27.604
18620.87137,27.604
19054.60718,27.604
19498.446,27.604
19952.62315,27.604
20417.37945,27.604
20892.96131,27.604
21379.6209,27.604
21877.61624,27.604
22387.21139,27.604
22908.67653,27.604
23442.28815,27.604
23988.32919,27.604
24547.08916,27.604
25118.86432,27.604
25703.95783,27.604
26302.67992,27.604
26915.34804,27.604
27542.28703,27.604
28183.82931,27.604
28840.31503,27.604
29512.09227,27.604
30199.5172,27.604
30902.95433,27.604
31622.7766,27.604
32359.36569,27.604
33113.11215,27.604
33884.41561,27.604
34673.68505,27.604
35481.33892,27.604
36307.80548,27.604
37153.52291,27.604
38018.93963,27.604
38904.5145,27.604
39810.71706,27.604
40738.02778,27.604
41686.93835,27.604
42657.95188,27.604
43651.58322,27.604
44668.35922,27.604
45708.81896,27.604
46773.51413,27.604
47863.00923,27.604
48977.88194,27.604
50118.72336,27.604
51286.1384,27.604
52480.74602,27.604
53703.17964,27.604
54954.08739,27.604
56234.13252,27.604
57543.99373,27.604
58884.36554,27.604
60255.95861,27.6041
61659.50019,27.6041
63095.73445,27.6041
64565.4229,27.6041
66069.3448,27.6041
67608.29754,27.6041
69183.09709,27.6041
70794.57844,27.6041
72443.59601,27.6041
74131.02413,27.6041
75857.7575,27.6041
77624.71166,27.6041
79432.82347,27.6041
81283.05162,27.6041
83176.37711,27.6041
85113.80382,27.6041
87096.359,27.6041
89125.09381,27.6041
91201.08394,27.6041
93325.43008,27.6041
95499.2586,27.6041
97723.7221,27.6041
100000,27.6041
102329.2992,27.6041
104712.8548,27.6041
107151.9305,27.6041
109647.8196,27.6041
112201.8454,27.6041
114815.3621,27.6041
117489.7555,27.6041
120226.4435,27.6041
123026.8771,27.6041
125892.5412,27.6041
128824.9552,27.6041
131825.6739,27.6041
134896.2883,27.6041
138038.4265,27.6041
141253.7545,27.6041
144543.9771,27.6041
147910.8388,27.6041
151356.1248,27.6041
154881.6619,27.6041
158489.3192,27.6041
162181.0097,27.6041
165958.6907,27.6041
169824.3652,27.6041
173780.0829,27.6041
177827.941,27.6041
181970.0859,27.6041
186208.7137,27.6042
190546.0718,27.6042
194984.46,27.6042
199526.2315,27.6042
204173.7945,27.6042
208929.6131,27.6042
213796.209,27.6042
218776.1624,27.6042
223872.1139,27.6042
229086.7653,27.6042
234422.8815,27.6042
239883.2919,27.6042
245470.8916,27.6042
251188.6432,27.6043
257039.5783,27.6043
263026.7992,27.6043
269153.4804,27.6043
275422.8703,27.6043
281838.2931,27.6043
288403.1503,27.6043
295120.9227,27.6043
301995.172,27.6043
309029.5433,27.6044
316227.766,27.6044
323593.6569,27.6044
331131.1215,27.6044
338844.1561,27.6044
346736.8505,27.6044
354813.3892,27.6045
363078.0548,27.6045
371535.2291,27.6045
380189.3963,27.6045
389045.145,27.6045
398107.1706,27.6046
407380.2778,27.6046
416869.3835,27.6046
426579.5188,27.6047
436515.8322,27.6047
446683.5922,27.6047
457088.1896,27.6047
467735.1413,27.6048
478630.0923,27.6048
489778.8194,27.6048
501187.2336,27.6049
512861.384,27.6049
524807.4602,27.605
537031.7964,27.605
549540.8739,27.6051
562341.3252,27.6051
575439.9373,27.6052
588843.6554,27.6052
602559.5861,27.6053
616595.0019,27.6053
630957.3445,27.6054
645654.229,27.6054
660693.448,27.6055
676082.9754,27.6056
691830.9709,27.6057
707945.7844,27.6057
724435.9601,27.6058
741310.2413,27.6059
758577.575,27.606
776247.1166,27.6061
794328.2347,27.6062
812830.5162,27.6063
831763.7711,27.6064
851138.0382,27.6065
870963.59,27.6066
891250.9381,27.6067
912010.8394,27.6068
933254.3008,27.607
954992.586,27.6071
977237.221,27.6073
1000000,27.6074
1023292.992,27.6076
1047128.548,27.6077
1071519.305,27.6079
1096478.196,27.6081
1122018.454,27.6083
1148153.621,27.6085
1174897.555,27.6087
1202264.435,27.6089
1230268.771,27.6092
1258925.412,27.6094
1288249.552,27.6097
1318256.739,27.6099
1348962.883,27.6102
1380384.265,27.6105
1412537.545,27.6108
1445439.771,27.6111
1479108.388,27.6114
1513561.248,27.6118
1548816.619,27.6122
1584893.192,27.6125
1621810.097,27.6129
1659586.907,27.6134
1698243.652,27.6138
1737800.829,27.6143
1778279.41,27.6147
1819700.859,27.6153
1862087.137,27.6158
1905460.718,27.6163
1949844.6,27.6169
1995262.315,27.6175
2041737.945,27.6182
2089296.131,27.6188
2137962.09,27.6195
2187761.624,27.6203
2238721.139,27.621
2290867.653,27.6218
